term,definition
Labially,"adv.,In a labial manner; with, or by means of, the lips."
Labiate,"v. t.,To labialize."
Labiated,"a.,Same as Labiate, a. (a)."
Labiatifloral,"a.,Alt. of Labiatifloral"
Labidometer,"n.,A forceps with a measuring attachment for ascertaining the size of the fetal head."
Labile,"a.,Liable to slip, err, fall, or apostatize."
Lability,"n.,Liability to lapse, err, or apostatize."
Labimeter,"n.,See Labidometer."
Labiodental,"a.,Formed or pronounced by the cooperation of the lips and teeth, as f and v."
Labionasal,"a.,Formed by the lips and the nose."
Labiose,"a.,Having the appearance of being labiate; -- said of certain polypetalous corollas."
Labipalpi,"pl. ,of Labipalpus"
Labipalpus,"n.,One of the labial palpi of an insect. See Illust. under Labium."
men,"pl. ,of Keelman"
M,",M, the thirteenth letter of the English alphabet, is a vocal consonant, and from the manner of its formation, is called the labio-nasal consonant. See Guide to Pronunciation, /…"
Ma,"n.,A child's word for mother."
Maa,"n.,The common European gull (Larus canus); -- called also mar. See New, a gull."
Maad,"p. p.,Made."
Maalin,"n.,The sparrow hawk."
Ma'am,"n.,Madam; my lady; -- a colloquial contraction of madam often used in direct address, and sometimes as an appellation."
Maara shell,",A large, pearly, spiral, marine shell (Turbo margaritaceus), from the Pacific Islands. It is used as an ornament."
Maasha,"n.,An East Indian coin, of about one tenth of the weight of a rupee."
Maat,"a.,Dejected; sorrowful; downcast."
Mad,"n.,A slattern."
Mabble,"v. t.,To wrap up."
Mabby,"n.,A spirituous liquor or drink distilled from potatoes; -- used in the Barbadoes."
Mabolo,"n.,A kind of persimmon tree (Diospyros discolor) from the Philippine Islands, now introduced into the East and West Indies. It bears an edible fruit as large as a quince."
Mac,",A prefix, in names of Scotch origin, signifying son."
Macaco,"n.,Any one of several species of lemurs, as the ruffed lemur (Lemur macaco), and the ring-tailed lemur (L. catta)."
Macacus,"n.,A genus of monkeys, found in Asia and the East Indies. They have short tails and prominent eyebrows."
Macadamization,"n.,The process or act of macadamizing."
Macadamized,"imp. & p. p.,of Macadamize"
Macadamizing,"p. pr. & vb. n.,of Macadamize"
Macadamize,"v. t.,To cover, as a road, or street, with small, broken stones, so as to form a smooth, hard, convex surface."
Maoadam road,",A macadamized road."
Macao,"n.,A macaw."
Macaque,"n.,Any one of several species of short-tailed monkeys of the genus Macacus; as, M. maurus, the moor macaque of the East Indies."
Macaranga gum,",A gum of a crimson color, obtained from a tree (Macaranga Indica) that grows in the East Indies. It is used in taking impressions of coins, medallions, etc., and sometimes as a…"
Macarize,"v. t.,To congratulate."
Macaronis,"pl. ,of Macaroni"
Macaronies,"pl. ,of Macaroni"
Macaroni,"n.,Long slender tubes made of a paste chiefly of wheat flour, and used as an article of food; Italian or Genoese paste."
Macaronian,"a.,Alt. of Macaronic"
Macaronic,"a.,Pertaining to, or like, macaroni (originally a dish of mixed food); hence, mixed; confused; jumbled."
Macaroon,"n.,A small cake, composed chiefly of the white of eggs, almonds, and sugar."
Macartney,"n.,A fire-backed pheasant. See Fireback."
Macassar oil,",A kind of oil formerly used in dressing the hair; -- so called because originally obtained from Macassar, a district of the Island of Celebes. Also, an imitation of the same, o…"
Macauco,"n.,Any one of several species of small lemurs, as Lemur murinus, which resembles a rat in size."
Macavahu,"n.,A small Brazilian monkey (Callithrix torquatus), -- called also collared teetee."
Macaw,"n.,Any parrot of the genus Sittace, or Macrocercus. About eighteen species are known, all of them American. They are large and have a very long tail, a strong hooked bill, and a…"
Maccabean,"a.,Of or pertaining to Judas Maccabeus or to the Maccabees; as, the Maccabean princes; Maccabean times."
Maccabees,"n. pl.,The name given later times to the Asmonaeans, a family of Jewish patriots, who headed a religious revolt in the reign of Antiochus IV., 168-161 B. C., which led to a peri…"
Maccaboy,"n.,Alt. of Maccoboy"
N,",the fourteenth letter of English alphabet, is a vocal consonent, and, in allusion to its mode of formation, is called the dentinasal or linguanasal consonent. Its commoner soun…"
Na,"a. & adv.,No, not. See No."
Nab,"n.,The summit of an eminence."
Nabbed,"imp. & p. p.,of Nab"
Nabbing,"p. pr. & vb. n.,of Nab"
Nabit,"n.,Pulverized sugar candy."
Nabk,"n.,The edible berries of the Zizyphys Lotus, a tree of Northern Africa, and Southwestern Europe."
Nabob,"n.,A deputy or viceroy in India; a governor of a province of the ancient Mogul empire."
Nacarat,"n.,A pale red color, with a cast of orange."
Nacker,"n.,See Nacre."
Nacre,"n.,A pearly substance which lines the interior of many shells, and is most perfect in the mother-of-pearl. [Written also nacker and naker.] See Pearl, and Mother-of-pearl."
Nacreous,"a.,Consisting of, or resembling, nacre; pearly."
Nad,",Alt. of Nadde"
Nadde,",Had not."
Nadder,"n.,An adder."
Nadir,"n.,That point of the heavens, or lower hemisphere, directly opposite the zenith; the inferior pole of the horizon; the point of the celestial sphere directly under the place whe…"
Naenia,"n.,See Nenia."
Naeve,"n.,A naevus."
Naevoid,"a.,Resembling a naevus or naevi; as, naevoid elephantiasis."
Naevose,"a.,Spotted; frecled."
Naevi,"pl. ,of Navus"
Navus,"n.,A spot or mark on the skin of children when born; a birthmark; -- usually applied to vascular tumors, i. e., those consisting mainly of blood vessels, as dilated arteries, ve…"
Nag,"n.,A small horse; a pony; hence, any horse."
Nagged,"imp. & p. p.,of Nag"
Nagging,"p. pr. & vb. n.,of Nag"
Naggy,"a.,Irritable; touchy."
Nagor,"n.,A West African gazelle (Gazella redunca)."
Nagyagite,"n.,A mineral of blackish lead-gray color and metallic luster, generally of a foliated massive structure; foliated tellurium. It is a telluride of lead and gold."
Naiad,"n.,A water nymph; one of the lower female divinities, fabled to preside over some body of fresh water, as a lake, river, brook, or fountain."
Naiant,"a.,See Natant."
Naid,"n.,Any one of numerous species of small, fresh-water, chaetopod annelids of the tribe Naidina. They belong to the Oligochaeta."
Naif,"a.,Having a true natural luster without being cut; -- applied by jewelers to a precious stone."
Naik,"n.,A chief; a leader; a Sepoy corporal."
Nail,"n.,the horny scale of plate of epidermis at the end of the fingers and toes of man and many apes."
Nailed,"imp. & p. p.,of Nail"
Nailing,"p. pr. & vb. n.,of Nail"
Nailbrush,"n.,A brush for cleaning the nails."
Nailer,"n.,One whose occupation is to make nails; a nail maker."
Naileress,"n.,A women who makes nailes."
Naileries,"pl. ,of Nailery"
Our,"pl. ,of I"
Ours,"pl. ,of I"
O,",O, the fifteenth letter of the English alphabet, derives its form, value, and name from the Greek O, through the Latin. The letter came into the Greek from the Ph/nician, which…"
O's,"pl. ,of O"
Oes,"pl. ,of O"
O',",A prefix to Irish family names, which signifies grandson or descendant of, and is a character of dignity; as, O'Neil, O'Carrol."
Oad,"n.,See Woad."
Oaf,"n.,Originally, an elf's child; a changeling left by fairies or goblins; hence, a deformed or foolish child; a simpleton; an idiot."
Oafish,"a.,Like an oaf; simple."
Oak,"n.,Any tree or shrub of the genus Quercus. The oaks have alternate leaves, often variously lobed, and staminate flowers in catkins. The fruit is a smooth nut, called an acorn, w…"
Oaken,"a.,Made or consisting of oaks or of the wood of oaks."
Oaker,"n.,See Ocher."
Oakling,"n.,A young oak."
Oakum,"n.,The material obtained by untwisting and picking into loose fiber old hemp ropes; -- used for calking the seams of ships, stopping leaks, etc."
Oaky,"n.,Resembling oak; strong."
Oar,"n,An implement for impelling a boat, being a slender piece of timber, usually ash or spruce, with a grip or handle at one end and a broad blade at the other. The part which rest…"
Oared,"imp. & p. p.,of Oar"
Oaring,"p. pr. & vb. n.,of Oar"
Oarfish,"n.,The ribbon fish."
Oarfoot,"n.,Any crustacean of the genus Remipes."
Oar-footed,"a.,Having feet adapted for swimming."
Oarless,"a.,Without oars."
Oarlock,"n.,The notch, fork, or other device on the gunwale of a boat, in which the oar rests in rowing.  See Rowlock."
Oarsmen,"pl. ,of Oarsman"
Oarsman,"n.,One who uses, or is skilled in the use of, an oar; a rower."
Oarsweed,"n.,Any large seaweed of the genus Laminaria; tangle; kelp.  See Kelp."
Oary,"a.,Having the form or the use of an oar; as, the swan's oary feet."
Oases,"pl. ,of Oasis"
Oasis,"n.,A fertile or green spot in a waste or desert, esp. in a sandy desert."
Oast,"n.,A kiln to dry hops or malt; a cockle."
Oats,"pl. ,of Oat"
Oat,"n.,A well-known cereal grass (Avena sativa), and its edible grain; -- commonly used in the plural and in a collective sense."
Oatcake,"n.,A cake made of oatmeal."
Oaten,"a.,Consisting of an oat straw or stem; as, an oaten pipe."
Oaths,"pl. ,of Oath"
Oath,"n.,A solemn affirmation or declaration, made with a reverent appeal to God for the truth of what is affirmed."
Oathable,"a.,Capable of having an oath administered to."
Oathbreaking,"n.,The violation of an oath; perjury."
Oatmeal,"n.,Meal made of oats."
Ob-,",A prefix signifying to, toward, before, against, reversely, etc.; also, as a simple intensive; as in oblige, to bind to; obstacle, something standing before; object, lit., to t…"
Pigpecker,"n.,The European garden warbler (Sylvia, / Currica, hortensis); -- called also beccafico and greater pettychaps."
Prigidity,"n.,The condition or quality of being frigid; coldness; want of warmth."
P,",the sixteenth letter of the English alphabet, is a nonvocal consonant whose form and value come from the Latin, into which language the letter was brought, through the ancient…"
Pa,"n.,A shortened form of Papa."
Paage,"n.,A toll for passage over another person's grounds."
Paard,"n.,The zebra."
Paas,"n.,Pace"
Pabular,"a.,Of, pertaining to, or fit for, pabulum or food; affording food."
Pabulation,"n.,The act of feeding, or providing food."
Pabulous,"a.,Affording pabulum, or food; alimental."
Pabulum,"n.,The means of nutriment to animals or plants; food; nourishment; hence, that which feeds or sustains, as fuel for a fire; that upon which the mind or soul is nourished; as, in…"
Pac,"n.,A kind of moccasin, having the edges of the sole turned up and sewed to the upper."
Paca,"n.,A small South American rodent (Coelogenys paca), having blackish brown fur, with four parallel rows of white spots along its sides; the spotted cavy. It is nearly allied to t…"
Pacable,"a.,Placable."
Pacane,"n.,A species of hickory. See Pecan."
Pacate,"a.,Appeased; pacified; tranquil."
Pacated,"a.,Pacified; pacate."
Pacation,"n.,The act of pacifying; a peacemaking."
Pace,"n.,A single movement from one foot to the other in walking; a step."
Paced,"imp. & p. p.,of Pace"
Pacing,"p. pr. & vb. n.,of Pace"
Pacer,"n.,One who, or that which, paces; especially, a horse that paces."
Pacha,"n.,See Pasha."
Pachacamac,"n.,A divinity worshiped by the ancient Peruvians as the creator of the universe."
Pachak,"n.,The fragrant roots of the Saussurea Costus, exported from India to China, and used for burning as incense. It is supposed to be the costus of the ancients."
Pachalic,"a. & n.,See Pashalic."
Pachisi,"n.,Alt. of Parchesi"
Parchesi,"n.,A game, somewhat resembling backgammon, originating in India."
Pachometer,"n.,An instrument for measuring thickness, as of the glass of a mirror, or of paper; a pachymeter."
Pachonta,"n.,A substance resembling gutta-percha, and used to adulterate it, obtained from the East Indian tree Isonandra acuminata."
Pachy-,",A combining form meaning thick; as, pachyderm, pachydactyl."
Pachycarpous,"a.,Having the pericarp thick."
Pachydactyl,"n.,A bird or other animal having thick toes."
Pachydactylous,"a.,Having thick toes."
Pachyderm,"n.,One of the Pachydermata."
Pachydermal,"a.,Of or relating to the pachyderms; as, pachydermal dentition."
Pachydermata,"n. pl.,A group of hoofed mammals distinguished for the thickness of their skins, including the elephant, hippopotamus, rhinoceros, tapir, horse, and hog. It is now considered an…"
Pachydermatous,"a.,Of or pertaining to the pachyderms."
Pachydermoid,"a.,Related to the pachyderms."
Pachyglossal,"a.,Having a thick tongue; -- applied to a group of lizards (Pachyglossae), including the iguanas and agamas."
Qraspine,"p. pr. & vb. n.,of Grasp"
Q,",the seventeenth letter of the English alphabet, has but one sound (that of k), and is always followed by u, the two letters together being sounded like kw, except in some words…"
Qua,"conj.,In so far as; in the capacity or character of; as."
Quab,"n.,An unfledged bird; hence, something immature or unfinished."
Qua-bird,"n.,The American night heron. See under Night."
Quacha,"n.,The quagga."
Qvacked,"imp. & p. p.,of Quack"
Quacking,"p. pr. & vb. n.,of Quack"
Quack,"v. i.,To utter a sound like the cry of a duck."
Quackeries,"pl. ,of Quackery"
Quackery,"n.,The acts, arts, or boastful pretensions of a quack; false pretensions to any art; empiricism."
Quack grass,",See Quitch grass."
Quackish,"a.,Like a quack; boasting; characterized by quackery."
Quackism,"n.,Quackery."
Quackled,"imp. & p. p.,of Quackle"
Quackling,"p. pr. & vb. n.,of Quackle"
Quackle,"v. i. & t.,To suffocate; to choke."
Quacksalver,"n.,One who boasts of his skill in medicines and salves, or of the efficacy of his prescriptions; a charlatan; a quack; a mountebank."
Quad,"a.,Alt. of Quade"
Quade,"a.,Evil; bad; baffling; as, a quade wind."
Quadrae,"pl. ,of Quadra"
Quadra,"n.,The plinth, or lowest member, of any pedestal, podium, water table, or the like."
Quadrable,"a.,That may be sqyared, or reduced to an equivalent square; -- said of a surface when the area limited by a curve can be exactly found, and expressed in a finite number of algeb…"
Quadragenarious,"a.,Consisting of forty; forty years old."
Quadragene,"n.,An indulgence of forty days, corresponding to the forty days of ancient canonical penance."
Quadragesima,"n.,The forty days of fast preceding Easter; Lent."
Quadragesimal,"a.,Belonging to Lent; used in Lent; Lenten."
Quadragesimals,"n. pl.,Offerings formerly made to the mother church of a diocese on Mid-Lent Sunday."
Quadrangle,"n.,A plane figure having four angles, and consequently four sides; any figure having four angles."
Quadrangular,"a.,Having four angles, and consequently four sides; tetragonal."
ries,"pl. ,of Lachrymatory"
R,",R, the eighteenth letter of the English alphabet, is a vocal consonant.  It is sometimes called a semivowel, and a liquid. See Guide to Pronunciation, // 178, 179, and 250-254."
Ra,"n.,A roe; a deer."
Ra-,",A prefix, from the Latin re and ad combined, coming to us through the French and Italian. See Re-, and Ad-."
Raash,"n.,The electric catfish."
Rab,"n.,A rod or stick used by masons in mixing hair with mortar."
Rabat,"n.,A polishing material made of potter's clay that has failed in baking."
Rabate,"v.,To recover to the fist, as a hawk."
Rabatine,"n.,A collar or cape."
Rabato,"n.,A kind of ruff for the neck; a turned-down collar; a rebato."
Rabbate,"v. t.,To abate or diminish."
Rabbeted,"imp. & p. p.,of Rabbet"
Rabbeting,"p. pr. & vb. n.,of Rabbet"
Rabbet,"v. t.,To cut a rabbet in; to furnish with a rabbet."
Rabbis,"pl. ,of Rabbi"
Rabbies,"pl. ,of Rabbi"
Rabbi,"n.,Master; lord; teacher; -- a Jewish title of respect or honor for a teacher or doctor of the law."
Rabbin,"n.,Same as Rabbi."
Rabbinic,"a.,Alt. of Rabbinical"
Rabbinical,"a.,Of or pertaining to the rabbins or rabbis, or pertaining to the opinions, learning, or language of the rabbins."
Rabbinically,"adv.,In a rabbinical manner; after the manner of the rabbins."
Rabbinism,"n.,A rabbinic expression or phraseology; a peculiarity of the language of the rabbins."
Rabbinist,"n.,One among the Jews who adhered to the Talmud and the traditions of the rabbins, in opposition to the Karaites, who rejected the traditions."
Rabbinite,"n.,Same as Rabbinist."
Rabbit,"n.,Any of the smaller species of the genus Lepus, especially the common European species (Lepus cuniculus), which is often kept as a pet, and has been introduced into many count…"
Rabbiting,"n.,The hunting of rabbits."
Rabbitry,"n.,A place where rabbits are kept; especially, a collection of hutches for tame rabbits."
Rabble,"n.,An iron bar, with the end bent, used in stirring or skimming molten iron in the process of puddling."
Rabbled,"imp. & p. p.,of Rabble"
Rabbling,"p. pr. & vb. n.,of Rabble"
Rabblement,"n.,A tumultuous crowd of low people; a rabble."
Rabbler,"n.,A scraping tool for smoothing metal."
Rabble-rout,"n.,A tumultuous crowd; a rabble; a noisy throng."
Rabdoidal,"a.,See Sagittal."
Rabdology,"n.,The method or art of performing arithmetical operations by means of Napier's bones. See Napier's bones."
Rabdomancy,"n.,Divination by means of rods or wands."
Rabid,"n.,Furious; raging; extremely violent."
Rabidity,"n.,Rabidness; furiousness."
Rabidly,"adv.,In a rabid manner; with extreme violence."
Rabidness,"n.,The quality or state of being rabid."
S,",the nineteenth letter of the English alphabet, is a consonant, and is often called a sibilant, in allusion to its hissing sound. It has two principal sounds; one a mere hissing…"
Saadh,"n.,See Sadh."
Saan,"n. pl.,Same as Bushmen."
Sabadilla,"n.,A Mexican liliaceous plant (Schoenocaulon officinale); also, its seeds, which contain the alkaloid veratrine. It was formerly used in medicine as an emetic and purgative."
Sabaean,"a. & n.,Same as Sabian."
Sabaeanism,"n.,Same as Sabianism."
Sabaeism,"n.,Alt. of Sabaism"
Sabaism,"n.,See Sabianism."
Sabal,"n.,A genus of palm trees including the palmetto of the Southern United States."
Sabaoth,"n. pl.,Armies; hosts."
Sabbat,"n.,In mediaeval demonology, the nocturnal assembly in which demons and sorcerers were thought to celebrate their orgies."
Sabbatarian,"n.,One who regards and keeps the seventh day of the week as holy, agreeably to the letter of the fourth commandment in the Decalogue."
Sabbatarianism,"n.,The tenets of Sabbatarians."
Sabbath,"n.,A season or day of rest; one day in seven appointed for rest or worship, the observance of which was enjoined upon the Jews in the Decalogue, and has been continued by the Ch…"
Sabbathless,"a.,Without Sabbath, or intermission of labor; hence, without respite or rest."
Sabbatic,"a.,Alt. of Sabbatical"
Sabbatical,"a.,Of or pertaining to the Sabbath; resembling the Sabbath; enjoying or bringing an intermission of labor."
Sabbatism,"n.,Intermission of labor, as upon the Sabbath; rest."
Sabbaton,"n.,A round-toed, armed covering for the feet, worn during a part of the sixteenth century in both military and civil dress."
Sabean,"a. & n.,Same as Sabian."
Sabeism,"n.,Same as Sabianism."
Sabella,"n.,A genus of tubicolous annelids having a circle of plumose gills around the head."
Sabellian,"a.,Pertaining to the doctrines or tenets of Sabellius. See Sabellian, n."
Sabellianism,"n.,The doctrines or tenets of Sabellius. See Sabellian, n."
Sabelloid,"a.,Like, or related to, the genus Sabella."
Saber,"n.,Alt. of Sabre"
Sabre,"n.,A sword with a broad and heavy blade, thick at the back, and usually more or less curved like a scimiter; a cavalry sword."
Sabered,"imp. & p. p.,of Sabre"
Sabred,",of Sabre"
Sabering,"p. pr. & vb. n.,of Sabre"
Sabring,",of Sabre"
Saberbill,"n.,Alt. of Sabrebill"
Sabrebill,"n.,The curlew."
Sabian,"a.,Of or pertaining to Saba in Arabia, celebrated for producing aromatic plants."
Sabianism,"n.,The doctrine of the Sabians; the Sabian religion; that species of idolatry which consists in worshiping the sun, moon, and stars; heliolatry."
Sabicu,"n.,The very hard wood of a leguminous West Indian tree (Lysiloma Sabicu), valued for shipbuilding."
Sabine,"a.,Of or pertaining to the ancient Sabines, a people of Italy."
Sable,"n.,A carnivorous animal of the Weasel family (Mustela zibellina) native of the northern latitudes of Europe, Asia, and America, -- noted for its fine, soft, and valuable fur."
Sabled,"imp. & p. p.,of Sable"
Sabling,"p. pr. & vb. n.,of Sable"
To compound a felony,",See under Compound, v. t."
The gapes,",A fit of yawning."
ties,"pl. ,of Rurality"
T,",the twentieth letter of the English alphabet, is a nonvocal consonant. With the letter h it forms the digraph th, which has two distinct sounds, as in thin, then. See Guide to…"
Ta,"v. t.,To take."
Taas,"n.,A heap. See Tas."
Tab,"n.,The flap or latchet of a shoe fastened with a string or a buckle."
Tabacco,"n.,Tobacco."
Tabanus,"n.,A genus of blood sucking flies, including the horseflies."
Tabard,"n.,A sort of tunic or mantle formerly worn for protection from the weather. When worn over the armor it was commonly emblazoned with the arms of the wearer, and from this the na…"
Tabarder,"n.,One who wears a tabard."
Tabaret,"n.,A stout silk having satin stripes, -- used for furniture."
Tabasheer,"n.,A concretion in the joints of the bamboo, which consists largely or chiefly of pure silica. It is highly valued in the East Indies as a medicine for the cure of bilious vomit…"
Tabbinet,"n.,A fabric like poplin, with a watered surface."
Tabbies,"pl. ,of Tabby"
Tabby,"n.,A kind of waved silk, usually called watered silk, manufactured like taffeta, but thicker and stronger. The watering is given to it by calendering."
Tabbied,"imp. & p. p.,of Tabby"
Tabbying,"p. pr. & vb. n.,of Tabby"
Tabefaction,"n.,A wasting away; a gradual losing of flesh by disease."
Tabefied,"imp. & p. p.,of Tabefy"
Tabefying,"p. pr. & vb. n.,of Tabefy"
Tabefy,"v. t.,To cause to waste gradually, to emaciate."
Tabellion,"n.,A secretary or notary under the Roman empire; also, a similar officer in France during the old monarchy."
Taber,"v. i.,Same as Tabor."
Taberd,"n.,See Tabard."
Tabernacle,"n.,A slightly built or temporary habitation; especially, a tent."
Tabernacled,"imp. & p. p.,of Tabernacle"
Tabernacling,"p. pr. & vb. n.,of Tabernacle"
Tabernacular,"a.,Of or pertaining to a tabernacle, especially the Jewish tabernacle."
Tabes,"n.,Progressive emaciation of the body, accompained with hectic fever, with no well-marked logical symptoms."
Tabescent,"a.,Withering, or wasting away."
Tabetic,"a.,Of or pertaining to tabes; of the nature of tabes; affected with tabes; tabid."
Tabid,"a.,Affected by tabes; tabetic."
Tabific,"a.,Alt. of Tabifical"
Tabifical,"a.,Producing tabes; wasting; tabefying."
Tabinet,"n.,See Tabbinet."
Tablature,"n.,A painting on a wall or ceiling; a single piece comprehended in one view, and formed according to one design; hence, a picture in general."
Table,"n.,A smooth, flat surface, like the side of a board; a thin, flat, smooth piece of anything; a slab."
Tableed,"imp. & p. p.,of Table"
Tableing,"p. pr. & vb. n.,of Table"
Us,"pl. ,of I"
U,",the twenty-first letter of the English alphabet, is a cursive form of the letter V, with which it was formerly used interchangeably, both letters being then used both as vowels…"
Uakari,"n.,Same as Ouakari."
Uberous,"a.,Fruitful; copious; abundant; plentiful."
Uberty,"n.,Fruitfulness; copiousness; abundance; plenty."
Ubication,"n.,Alt. of Ubiety"
Ubiety,"n.,The quality or state of being in a place; local relation; position or location; whereness."
Ubiquarian,"a.,Ubiquitous."
Ubiquitist,"n.,Alt. of Ubiquitarian"
Ubiquitarian,"n.,One of a school of Lutheran divines which held that the body of Christ is present everywhere, and especially in the eucharist, in virtue of his omnipresence. Called also ubiq…"
Ubiquitariness,"n.,Quality or state of being ubiquitary, or ubiquitous."
Ubiquitary,"a.,Ubiquitous."
Ubiquitaries,"pl. ,of Ubiquitary"
Ubiquitous,"a.,Existing or being everywhere, or in all places, at the same time; omnipresent."
Ubiquity,"n.,Existence everywhere, or in places, at the same time; omnipresence; as, the ubiquity of God is not disputed by those who admit his existence."
Uchees,"n. pl.,A tribe of North American Indians belonging to the Creek confederation."
Uckewallist,"n.,One of a sect of rigid Anabaptists, which originated in 1637, and whose tenets were essentially the same as those of the Mennonists. In addition, however, they held that Juda…"
Udal,"n.,In Shetland and Orkney, a freehold; property held by udal, or allodial, right."
Udaler,"n.,Alt. of Udalman"
Udalman,"n.,In the Shetland and Orkney Islands, one who holds property by udal, or allodial, right."
Udder,"n.,The glandular organ in which milk is secreted and stored; -- popularly called the bag in cows and other quadrupeds. See Mamma."
Uddered,"a.,Having an udder or udders."
Udderless,"a.,Destitute or deprived of an udder."
Udometer,"n.,A rain gauge."
Ugh,"interj.,An exclamation expressive of disgust, horror, or recoil. Its utterance is usually accompanied by a shudder."
Uglesome,"a.,Ugly."
Uglify,"v. t.,To disfigure; to make ugly."
Uglily,"adv.,In an ugly manner; with deformity."
Ugliness,"n.,The quality or state of being ugly."
Ugly,"superl.,Offensive to the sight; contrary to beauty; being of disagreeable or loathsome aspect; unsightly; repulsive; deformed."
Ugrian,"n. pl.,A Mongolian race, ancestors of the Finns."
Ugsome,"a.,Ugly; offensive; loathsome."
Uhlan,"n.,One of a certain description of militia among the Tartars."
Uintatherium,"n.,An extinct genus of large Eocene ungulates allied to Dinoceras. This name is sometimes used for nearly all the known species of the group. See Dinoceras."
Ukase,"n.,In Russia, a published proclamation or imperial order, having the force of law."
Ulan,"n.,See Uhlan."
Ularburong,"n.,A large East Indian nocturnal tree snake (Dipsas dendrophila). It is not venomous."
Ulcer,"n.,A solution of continuity in any of the soft parts of the body, discharging purulent matter, found on a surface, especially one of the natural surfaces of the body, and origin…"
Ulcerable,"a.,Capable of ulcerating."
Ulcerated,"imp. & p. p.,of Ulcerate"
V,",V, the twenty-second letter of the English alphabet, is a vocal consonant. V and U are only varieties of the same character, U being the cursive form, while V is better adapted…"
Vaagmer,"n.,The dealfish."
Vacancies,"pl. ,of Vacancy"
Vacancy,"n.,The quality or state of being vacant; emptiness; hence, freedom from employment; intermission; leisure; idleness; listlessness."
Vacant,"a.,Deprived of contents; not filled; empty; as, a vacant room."
Vacantly,"adv.,In a vacant manner; inanely."
Vacated,"imp. & p. p.,of Vacate"
Vacating,"p. pr. & vb. n.,of Vacate"
Vacate,"v. t.,To make vacant; to leave empty; to cease from filling or occupying; as, it was resolved by Parliament that James had vacated the throne of England; the tenant vacated the…"
Vacation,"n.,The act of vacating; a making void or of no force; as, the vacation of an office or a charter."
Vaccary,"n.,A cow house, dairy house, or cow pasture."
Vaccina,"n.,Vaccinia."
Vaccinal,"a.,Of or pertaining to vaccinia or vaccination."
Vaccinated,"imp. & p. p.,of Vaccinate"
Vaccinating,"p. pr. & vb. n.,of Vaccinate"
Vaccinate,"v. t.,To inoculate with the cowpox by means of a virus, called vaccine, taken either directly or indirectly from cows."
Vaccination,"n.,The act, art, or practice of vaccinating, or inoculating with the cowpox, in order to prevent or mitigate an attack of smallpox.  Cf. Inoculation."
Vaccinator,"n.,One who, or that which, vaccinates."
Vaccine,"a.,Of or pertaining to cows; pertaining to, derived from, or caused by, vaccinia; as, vaccine virus; the vaccine disease."
Vaccinia,"n.,Cowpox; vaccina. See Cowpox."
Vaccinist,"n.,A vaccinator."
Vaccinium,"n.,A genus of ericaceous shrubs including the various kinds of blueberries and the true cranberries."
Vacher,"n.,A keeper of stock or cattle; a herdsman."
Vachery,"n.,An inclosure for cows."
Vacillancy,"n.,The quality or state of being vacillant, or wavering."
Vacillant,"a.,Vacillating; wavering; fluctuating; irresolute."
Vacillated,"imp. & p. p.,of Vacillate"
Vacillating,"p. pr. & vb. n.,of Vacillate"
Vacillate,"v. t.,To move one way and the other; to reel or stagger; to waver."
Vacillation,"n.,The act of vacillating; a moving one way and the other; a wavering."
Vacillatory,"a.,Inclined to vacillate; wavering; irresolute."
Vacuate,"v. t.,To make void, or empty."
Vacuation,"n.,The act of emptying; evacuation."
Vacuist,"n.,One who holds the doctrine that the space between the bodies of the universe, or the molecules and atoms of matter., is a vacuum; -- opposed to plenist."
Vacuity,"n.,The quality or state of being vacuous, or not filled; emptiness; vacancy; as, vacuity of mind; vacuity of countenance."
Vacuna,"n.,The goddess of rural leisure, to whom the husbandmen sacrificed at the close of the harvest. She was especially honored by the Sabines."
Vacuolated,"a.,Full of vacuoles, or small air cavities; as, vacuolated cells."
Vacuolation,"n.,Formation into, or multiplication of, vacuoles."
Vacuole,"n.,A small air cell, or globular space, in the interior of organic cells, either containing air, or a pellucid watery liquid, or some special chemical secretions of the cell pro…"
Vacuous,"a.,Empty; unfilled; void; vacant."
Went,"imp.,of Go"
women,"pl. ,of Herdswoman"
We,"pl. ,of I"
W,",the twenty-third letter of the English alphabet, is usually a consonant, but sometimes it is a vowel, forming the second element of certain diphthongs, as in few, how. It takes…"
Waag,"n.,The grivet."
Waahoo,"n.,The burning bush; -- said to be called after a quack medicine made from it."
Wabble,"v. i.,To move staggeringly or unsteadily from one side to the other; to vacillate; to move the manner of a rotating disk when the axis of rotation is inclined to that of the dis…"
Wabbly,"a.,Inclined to wabble; wabbling."
Wacke,"n.,Alt. of Wacky"
Wacky,"n.,A soft, earthy, dark-colored rock or clay derived from the alteration of basalt."
Wad,"n.,Woad."
Waded,"imp. & p. p.,of Wad"
Wadding,"p. pr. & vb. n.,of Wad"
Wadd,"n.,An earthy oxide of manganese, or mixture of different oxides and water, with some oxide of iron, and often silica, alumina, lime, or baryta; black ocher. There are several va…"
Waddled,"imp. & p. p.,of Waddle"
Waddling,"p. pr. & vb. n.,of Waddle"
Waddle,"v. i.,To walk with short steps, swaying the body from one side to the other, like a duck or very fat person; to move clumsily and totteringly along; to toddle; to stumble; as, a…"
Waddler,"n.,One who, or that which, waddles."
Waddlingly,"adv.,In a waddling manner."
Wade,"n.,Woad."
Wading,"p. pr. & vb. n.,of Wade"
Wader,"n.,One who, or that which, wades."
