term,definition
Wadmol,"n.,A coarse, hairy, woolen cloth, formerly used for garments by the poor, and for various other purposes."
Wadset,"n.,A kind of pledge or mortgage."
Wadsetter,"n.,One who holds by a wadset."
Wadies,"pl. ,of Wady"
Wady,"n.,A ravine through which a brook flows; the channel of a water course, which is dry except in the rainy season."
Wae,"n.,A wave."
Waeg,"n.,The kittiwake."
Wafer,"n.,A thin cake made of flour and other ingredients."
Wafered,"imp. & p. p.,of Wafer"
Wafering,"p. pr. & vb. n.,of Wafer"
Waferer,"n.,A dealer in the cakes called wafers; a confectioner."
Waffle,"n.,A thin cake baked and then rolled; a wafer."
Wafted,"imp. & p. p.,of Waft"
Wafting,"p. pr. & vb. n.,of Waft"
Waft,"v. t.,To give notice to by waving something; to wave the hand to; to beckon."
Waftage,"n.,Conveyance on a buoyant medium, as air or water."
Wafter,"n.,One who, or that which, wafts."
Wafture,"n.,The act of waving; a wavelike motion; a waft."
X,",X, the twenty-fourth letter of the English alphabet, has three sounds; a compound nonvocal sound (that of ks), as in wax; a compound vocal sound (that of gz), as in example; an…"
Xanthamide,"n.,An amido derivative of xanthic acid obtained as a white crystalline substance, C2H5O.CS.NH2; -- called also xanthogen amide."
Xanthate,"n.,A salt of xanthic; a xanthogenate."
Xanthelasma,"n.,See Xanthoma."
Xanthian,"a.,Of or pertaining to Xanthus, an ancient town on Asia Minor; -- applied especially to certain marbles found near that place, and now in the British Museum."
Xanthic,"a.,Tending toward a yellow color, or to one of those colors, green being excepted, in which yellow is a constituent, as scarlet, orange, etc."
Xanthide,"n.,A compound or derivative of xanthogen."
Xanthidia,"pl. ,of Xanthidium"
Xanthidium,"n.,A genus of minute unicellular algae of the desmids. These algae have a rounded shape and are armed with glochidiate or branched aculei. Several species occur in ditches, and…"
Xanthin,"n.,A crystalline nitrogenous body closely related to both uric acid and hypoxanthin, present in muscle tissue, and occasionally found in the urine and in some urinary calculi. I…"
Xanthinine,"n.,A complex nitrogenous substance related to urea and uric acid, produced as a white powder; -- so called because it forms yellow salts, and because its solution forms a blue f…"
Xanthium,"n.,A genus of composite plants in which the scales of the involucre are united so as to form a kind of bur; cocklebur; clotbur."
Xantho-,",A combining form from Gr. xanqo`s yellow; as in xanthocobaltic salts. Used also adjectively in chemistry."
Xanthocarpous,"a.,Having yellow fruit."
Xanthochroi,"n. pl.,A division of the Caucasian races, comprising the lighter-colored members."
Xanthochroic,"a.,Having a yellowish or fair complexion; of or pertaining to the Xanthochroi."
Xanthodontous,"a.,Having yellow teeth."
Xanthogen,"n.,The hypothetical radical supposed to be characteristic of xanthic acid."
Xanthogenate,"n.,A salt of xanthic acid."
Xanthogenic,"a.,Producing a yellow color or compound; xanthic.  See Xanthic acid, under Xanthic."
Xanthoma,"n.,A skin disease marked by the development or irregular yellowish patches upon the skin, especially upon the eyelids; -- called also xanthelasma."
Xanthophane,"n.,The yellow pigment present in the inner segments of the retina in animals.  See Chromophane."
Xanthophyll,"n.,A yellow coloring matter found in yellow autumn leaves, and also produced artificially from chlorophyll; -- formerly called also phylloxanthin."
Xanthopous,"a.,Having a yellow stipe, or stem."
Xanthoproteic,"a.,Pertaining to, or derived from, xanthoprotein; showing the characters of xanthoprotein; as, xanthoproteic acid; the xanthoproteic reaction for albumin."
Xanthoprotein,"n.,A yellow acid substance formed by the action of hot nitric acid on albuminous or proteid matter. It is changed to a deep orange-yellow color by the addition of ammonia."
Xanthopuccine,"n.,One of three alkaloids found in the root of the yellow puccoon (Hydrastis Canadensis). It is a yellow crystalline substance, and resembles berberine."
Xanthorhamnin,"n.,A glucoside extracted from Persian berries as a yellow crystalline powder, used as a dyestuff."
Xanthorhiza,"n.,A genus of shrubby ranunculaceous plants of North America, including only the species Xanthorhiza apiifolia, which has roots of a deep yellow color; yellowroot. The bark is i…"
Xanthorhoea,"n.,A genus of endogenous plants, native to Australia, having a thick, sometimes arborescent, stem, and long grasslike leaves.  See Grass tree."
Xanthose,"n.,An orange-yellow substance found in pigment spots of certain crabs."
Xanthosis,"n.,The yellow discoloration often observed in cancerous tumors."
Xanthospermous,"a.,Having yellow seeds."
Xanthous,"a.,Yellow; specifically (Ethnol.), of or pertaining to those races of man which have yellowish, red, auburn, or brown hair."
Xanthoxylene,"n.,A liquid hydrocarbon of the terpene series extracted from the seeds of a Japanese prickly ash (Xanthoxylum pipertium) as an aromatic oil."
Xanthoxylum,"n.,A genus of prickly shrubs or small trees, the bark and rots of which are of a deep yellow color; prickly ash."
Xebec,"n.,A small three-masted vessel, with projecting bow stern and convex decks, used in the Mediterranean for transporting merchandise, etc. It carries large square sails, or both.…"
Xeme,"n.,An Arctic fork-tailed gull (Xema Sabinii)."
Xenelasia,"n.,A Spartan institution which prohibited strangers from residing in Sparta without permission, its object probably being to preserve the national simplicity of manners."
Xenia,"pl. ,of Xenium"
Y,",Y, the twenty-fifth letter of the English alphabet, at the beginning of a word or syllable, except when a prefix (see Y-), is usually a fricative vocal consonant; as a prefix,…"
Y's,"pl. ,of Y"
Ys,"pl. ,of Y"
Y-,",Alt. of I-"
Ya,"adv.,Yea."
Yacare,"n.,A South American crocodilian (Jacare sclerops) resembling the alligator in size and habits. The eye orbits are connected together, and surrounded by prominent bony ridges. Ca…"
Yacca,"n.,A West Indian name for two large timber trees (Podocarpus coriaceus, and P. Purdicanus) of the Yew family. The wood, which is much used, is pale brownish with darker streaks."
Yacht,"n.,A light and elegantly furnished vessel, used either for private parties of pleasure, or as a vessel of state to convey distinguished persons from one place to another; a seag…"
Yachter,"n.,One engaged in sailing a jacht."
Yachting,"n.,Sailing for pleasure in a yacht."
Yachtman,"n.,See Yachtsman."
Yachtsmen,"pl. ,of Yachtsman"
Yachtsman,"n.,One who owns or sails a yacht; a yachter."
Yaf,"imp.,Gave.  See Give."
Yaffingale,"n.,The yaffle."
Yaffle,"n.,The European green woodpecker (Picus, / Genius, viridis). It is noted for its loud laughlike note. Called also eccle, hewhole, highhoe, laughing bird, popinjay, rain bird, ya…"
Yager,"n.,In the German army, one belonging to a body of light infantry armed with rifles, resembling the chasseur of the French army."
Yaguarundi,"n.,Same as Jaguarondi."
Yajur-Veda,"n.,See Veda."
Yak,"n.,A bovine mammal (Poephagus grunnies) native of the high plains of Central Asia. Its neck, the outer side of its legs, and its flanks, are covered with long, flowing, fine hai…"
Yakamilk,"n.,See Trumpeter, 3 (a)."
Yakare,"n.,Same as Yacare."
Yakin,"n.,A large Asiatic antelope (Budorcas taxicolor) native of the higher parts of the Himalayas and other lofty mountains. Its head and neck resemble those of the ox, and its tail…"
Yakoots,"n. pl., (Ethnol.) A nomadic Mongolian tribe native of Northern Siberia, and supposed to be of Turkish stock. They are mainly pastoral in their habits."
Yaksha,"n.,A kind of demigod attendant on Kuvera, the god of wealth."
Yalah,"n.,The oil of the mahwa tree."
Yam,"n.,A large, esculent, farinaceous tuber of various climbing plants of the genus Dioscorea; also, the plants themselves. Mostly natives of warm climates. The plants have netted-v…"
Yama,"n.,The king of the infernal regions, corresponding to the Greek Pluto, and also the judge of departed souls. In later times he is more exclusively considered the dire judge of a…"
Yamma,"n.,The llama."
Yamp,"n.,An umbelliferous plant (Carum Gairdneri); also, its small fleshy roots, which are eaten by the Indians from Idaho to California."
Yang,"n.,The cry of the wild goose; a honk."
Yank,"n.,A jerk or twitch."
Yanked,"imp. & p. p.,of Yank"
Yanking,"p. pr. & vb. n.,of Yank"
Yankee,"n.,A nickname for a native or citizen of New England, especially one descended from old New England stock; by extension, an inhabitant of the Northern States as distinguished fr…"
Yankee-Doodle,"n.,The name of a tune adopted popularly as one of the national airs of the United States."
Yankeeism,"n.,A Yankee idiom, word, custom, or the like."
Yaourt,"n.,A fermented drink, or milk beer, made by the Turks."
Yap,"v. i.,To bark; to yelp."
Yapock,"n.,A South American aquatic opossum (Chironectes variegatus) found in Guiana and Brazil. Its hind feet are webbed, and its fore feet do not have an opposable thumb for climbing.…"
Z,",Z, the twenty-sixth and last letter of the English alphabet, is a vocal consonant. It is taken from the Latin letter Z, which came from the Greek alphabet, this having it from…"
Za,"n.,An old solfeggio name for B flat; the seventh harmonic, as heard in the or aeolian string; -- so called by Tartini. It was long considered a false, but is the true note of th…"
Zabaism,"n.,Alt. of Zabism"
Zabism,"n.,See Sabianism."
Zabian,"a. & n.,See Sabian."
Zacco,"n.,See Zocco."
Zachun,"n.,An oil pressed by the Arabs from the fruit of a small thorny tree (Balanites Aegyptiaca), and sold to piligrims for a healing ointment."
Zaerthe,"n.,Same as Z/rthe."
Zaffer,"n.,A pigment obtained, usually by roasting cobalt glance with sand or quartz, as a dark earthy powder. It consists of crude cobalt oxide, or of an impure cobalt arseniate. It is…"
Zaim,"n.,A Turkish chief who supports a mounted militia bearing the same name."
Zaimet,"n.,A district from which a Zaim draws his revenue."
Zain,"n.,A horse of a dark color, neither gray nor white, and having no spots."
Zalambdodont,"a.,Of or pertaining to a tribe (Zalambdodonta) of Insectivora in which the molar teeth have but one V-shaped ridge."
Zamang,"n.,An immense leguminous tree (Pithecolobium Saman) of Venezuela. Its branches form a hemispherical mass, often one hundred and eighty feet across. The sweet pulpy pods are used…"
Zambos,"pl. ,of Zambo"
Zambo,"n.,The child of a mulatto and a negro; also, the child of an Indian and a negro; colloquially or humorously, a negro; a sambo."
Zamia,"n.,A genus of cycadaceous plants, having the appearance of low palms, but with exogenous wood.  See Coontie, and Illust. of Strobile."
Zamindar,"n.,A landowner; also, a collector of land revenue; now, usually, a kind of feudatory recognized as an actual proprietor so long as he pays to the government a certain fixed reve…"
Zamindary,"n.,Alt. of Zamindari"
Zamindari,"n.,The jurisdiction of a zamindar; the land possessed by a zamindar."
Zamite,"n.,A fossil cycad of the genus Zamia."
Zamouse,"n.,A West African buffalo (Bubalus brachyceros) having short horns depressed at the base, and large ears fringed internally with three rows of long hairs. It is destitute of a d…"
Zampogna,"n.,A sort of bagpipe formerly in use among Italian peasants. It is now almost obsolete."
Zander,"n.,A European pike perch (Stizostedion lucioperca) allied to the wall-eye; -- called also sandari, sander, sannat, schill, and zant."
Zandmole,"n.,The sand mole."
Zante,"n.,See Zantewood."
Zante currant,",A kind of seedless grape or raisin; -- so called from Zante, one of the Ionian Islands."
Zantewood,"n.,A yellow dyewood; fustet; -- called also zante, and zante fustic.  See Fustet, and the Note under Fustic."
Zantiot,"n.,A native or inhabitant of Zante, one of the Ionian Islands."
Zanies,"pl. ,of Zany"
Zany,"n.,A merry-andrew; a buffoon."
Zanyism,"n.,State or character of a zany; buffoonery."
Zaphara,"n.,Zaffer."
Zaphrentis,"n.,An extinct genus of cyathophylloid corals common in the Paleozoic formations. It is cup-shaped with numerous septa, and with a deep pit in one side of the cup."
Zapotilla,"n.,See Sapodilla."
Zaptiah,"n.,A Turkish policeman."
Zarathustrian,"a.,Alt. of Zarathustric"
Zarathustric,"a.,Of or pertaining to Zarathustra, or Zoroaster; Zoroastrian."
Zarathustrism,"n.,See Zoroastrianism."
Zaratite,"n.,A hydrous carbonate of nickel occurring as an emerald-green incrustation on chromite; -- called also emerald nickel."

